2025-10-21->00:05 | 00:05:01  
2025-10-21->00:45 | 00:45:02 ...... buscando en directorio 0003 - Interbank
2025-10-21->00:45 | 00:45:02 ......... sin archivos a procesar.
2025-10-21->00:45 | 00:45:02 ...... buscando en directorio 0004 - Simulador-CCE1
2025-10-21->00:45 | 00:45:03 ......... sin archivos a procesar.
2025-10-21->00:45 | 00:45:03 ...... buscando en directorio 0005 - Simulador-CCE2
2025-10-21->00:45 | 00:45:03 ......... sin archivos a procesar.
2025-10-21->00:45 | 00:45:03 ...... buscando en directorio 0007 - Citibank
2025-10-21->00:45 | 00:45:04 ......... sin archivos a procesar.
2025-10-21->00:45 | 00:45:04 ...... buscando en directorio 0009 - Scotiabank
2025-10-21->00:45 | 00:45:04 ......... sin archivos a procesar.
2025-10-21->00:45 | 00:45:04 ...... buscando en directorio 0011 - BBVA
2025-10-21->00:45 | 00:45:05 ...... buscando en directorio 0018 - BN
