2025-10-20->00:00 | 00:00:02  
2025-10-20->00:20 | 00:20:19 ......... sin archivos a procesar.
2025-10-20->00:20 | 00:20:19 ... 
2025-10-20->00:20 | 00:20:19 ... procesando los archivos ctl encontrados
2025-10-20->00:20 | 00:20:19 ...... no existen archivos para descargar.
2025-10-20->00:20 | 00:20:19  
2025-10-20->00:20 | 00:20:19 Procesamiento de Archivos
2025-10-20->00:20 | 00:20:19 -------------------------
2025-10-20->00:20 | 00:20:19 ...
2025-10-20->00:20 | 00:20:19 ... no existen archivos para procesar.
2025-10-20->00:30 | 00:30:01  
2025-10-20->00:30 | 00:30:01 Inicio de Verificación y Descarga de Archivos
2025-10-20->00:30 | 00:30:01 ---------------------------------------------
2025-10-20->00:30 | 00:30:01 ...
2025-10-20->00:30 | 00:30:01 ... validando conexion servidor SFTP : 192.168.10.51
2025-10-20->00:30 | 00:30:02 ...... conexión OK.
2025-10-20->00:30 | 00:30:02 ... 
2025-10-20->00:30 | 00:30:02 ... verificando en servidor sftp existencia de archivos a procesar
2025-10-20->00:30 | 00:30:02 ... 
2025-10-20->00:30 | 00:30:02 ...... buscando en directorio 0002 - BCP
2025-10-20->00:30 | 00:30:02 ......... sin archivos a procesar.
2025-10-20->00:30 | 00:30:02 ...... buscando en directorio 0003 - Interbank
2025-10-20->00:30 | 00:30:03 ......... sin archivos a procesar.
2025-10-20->00:30 | 00:30:03 ...... buscando en directorio 0004 - Simulador-CCE1
2025-10-20->00:30 | 00:30:03 ......... sin archivos a procesar.
2025-10-20->00:30 | 00:30:03 ...... buscando en directorio 0005 - Simulador-CCE2
2025-10-20->00:30 | 00:30:04 ......... sin archivos a procesar.
2025-10-20->00:30 | 00:30:04 ...... buscando en directorio 0007 - Citibank
2025-10-20->00:30 | 00:30:04 ......... sin archivos a procesar.
2025-10-20->00:30 | 00:30:04 ...... buscando en directorio 0009 - Scotiabank
2025-10-20->00:30 | 00:30:04 ......... sin archivos a procesar.
2025-10-20->00:30 | 00:30:04 ...... buscando en directorio 0011 - BBVA
2025-10-20->00:30 | 00:30:05 ......... sin archivos a procesar.
2025-10-20->00:30 | 00:30:05 ...... buscando en directorio 0018 - BN
